ACTIVE_DAYS,WALLET_COUNT,AVG_RETURN_PCT,MEDIAN_RETURN_PCT,MIN_RETURN_PCT,MAX_RETURN_PCT,AVG_STDDEV_PCT
1,103,846504253459.21,36831672.03,-100,87113681422473.6,2818922731239.47
2,38,28042901925.06,529295382.81,3.17,1036407918521.44,107028113976.7
3,28,20089050328.38,342880853.84,-100,407087261449.21,102801353552.53
4,24,5121748148456.69,807922037.94,5002.15,111437177433318,55819158033698.5
5,15,21615227235481.1,856350420.66,-100,324133919340914,45335609432574.8
6,19,1385797058.99,213298550.1,-77.08,15549507085.57,13203403060.63
7,25,25583320055,290469858.29,159.06,282647175722.22,93670130196.98
8,13,75175444022111500,223123853.98,4038.35,977280744069504000,309956304262765000
9,18,233806426692.29,496875731.11,3940.94,2988065436333.49,1011653814023.41
10,17,24074247321.32,180671133.63,3824.6,380656536316.4,104756152222.95
ï»¿