WALLET_ADDRESS,TOKEN_MINT,TRADE_COUNT,TOTAL_BUY_AMOUNT,TOTAL_SELL_AMOUNT,ROI,FIRST_TRADE_TIME,LAST_TRADE_TIME,HOLDING_PERIOD_MINUTES,BUY_COUNT,SELL_COUNT
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,4G7RWosoZcBdZxeqkJV2f4QPrXfKKBC3YmtquD9jpump,11,0.107242903,0.027257019,-0.7458384822,2025-01-23 18:58:21.000,2025-01-23 19:26:12.000,28,10,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,CMN2oFjtXdrbsRMFrcq7SwggyM9ZqHvUmvu97eYYpump,5,0.082383661,0.016245692,-0.802804442,2025-02-03 18:12:18.000,2025-02-03 18:20:52.000,8,4,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,89YPAxzqhkEMRFKd6tyyGEsRTAaQxu8wrPdrgcrjpump,9,0.084563895,0.015732186,-0.8139609582,2025-01-23 04:37:59.000,2025-01-23 05:03:14.000,26,8,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,8e6Mt7Wk5gtjHLQKATbhGuxSY3zgz1ArgS4tXroTpump,4,0.033017614,0.005603332,-0.8302926432,2025-01-25 14:18:45.000,2025-01-25 14:25:00.000,7,3,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,5fBYvaDF8yjQL44GpHQA2UChnj7iw6Xw7jSf6iLYpump,2,0.010302376,0.001734793,-0.8316123387,2025-01-26 01:36:15.000,2025-01-26 01:38:08.000,2,1,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,Hvoufy7WwrKDRGBD4cmmbPxsYgM5k8CGxYFRXuHHpump,4,0.032311923,0.005424921,-0.8321077641,2025-02-16 21:43:03.000,2025-02-16 21:49:32.000,6,3,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,8yzCfwPPDr19t1xjxXv9cEP9MpU44uuTZbCW9yEGpump,2,0.010302398,0.001715315,-0.8335033261,2025-02-14 16:59:28.000,2025-02-14 16:59:43.000,0,1,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,H7brRqALfbL1PArwYyLGfTGhZhbTjkhgz252oTSipump,3,0.022013871,0.003574298,-0.8376342807,2025-01-27 07:50:43.000,2025-01-27 07:55:45.000,5,2,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,2pGKfe8HMNd9cTtFxH7iydsj6CqThRpn6M8DtX4spump,6,0.053647755,0.008669201,-0.8384051485,2025-02-13 13:59:12.000,2025-02-13 14:11:11.000,12,5,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,696Gu21BY2Aaaxn1Y33gmPxGcL6pcpD2PzAgzLtzpump,3,0.020617324,0.003319793,-0.8389804128,2025-01-30 02:14:08.000,2025-01-30 02:17:56.000,3,2,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,3PgdLAbXAWHCsNhhyTb5cBFUd4eQyZo6DpNfZv2tpump,4,0.033018006,0.00526297,-0.8406030334,2025-02-15 13:55:36.000,2025-02-15 14:03:29.000,8,3,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,7Wf13M7WVopFornrg9pKSDwZAuKeTpkVAzPHNAiApump,5,0.041211194,0.00638214,-0.8451357658,2025-02-18 06:09:58.000,2025-02-18 06:19:45.000,10,4,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,5iUFxNdVYf8TQtpsL3XJoaPbQXNKLMCVG3ScMNH1pump,7,0.064658537,0.009589301,-0.8516931956,2025-01-28 22:55:52.000,2025-01-28 23:16:33.000,21,6,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,3FSwNgq8aJExibQkvLdWKHMbfejNhthLwso5Z388pump,6,0.055031482,0.008084158,-0.853099395,2025-02-02 23:20:46.000,2025-02-02 23:32:42.000,12,5,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,BX7UPGZ7RjvP74Kxr3waVT1Ds9w9E4CLvkZjPiF8pump,11,0.109346937,0.015129583,-0.8616368833,2025-01-28 09:36:08.000,2025-01-28 10:02:13.000,26,10,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,DeFVszRTH1uhG2NwLZH8YCTUgappMGxTx6DUyCYwpump,12,0.117618747,0.016151147,-0.8626822049,2025-02-01 05:56:25.000,2025-02-01 06:26:28.000,30,11,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,AwhTpT8Wu5tnGAg7NtEZC5hJ7iT7TDJ9hD2eLJCBpump,11,0.106549506,0.01461276,-0.8628547372,2025-01-26 17:18:30.000,2025-01-26 17:44:14.000,26,10,1
3HhUoKZaSME3ZjUdWiajgTjDF2hpWvi8SbsA3JsucT5d,7t2roKuJvuV1g1qUqTFqJikHaxobTVEnpLLp3Nv6pump,2,3.256260591,0.282811949,-0.9131482444,2025-02-15 21:13:50.000,2025-02-15 21:23:50.000,10,1,1
ï»¿